codepoint,x,y,width,height,advance
32,0,0,10,10,0.46
33,10,0,10,10,0.54
34,20,0,10,10,0.54
35,30,0,10,10,0.54
36,40,0,10,10,0.54
37,50,0,10,10,0.54
38,60,0,10,10,0.54
39,70,0,10,10,0.54
40,80,0,10,10,0.54
41,90,0,10,10,0.54
42,100,0,10,10,0.54
43,110,0,10,10,0.54
44,120,0,10,10,0.54
45,130,0,10,10,0.54
46,140,0,10,10,0.54
47,150,0,10,10,0.54
48,160,0,10,10,0.66
49,170,0,10,10,0.66
50,180,0,10,10,0.66
51,190,0,10,10,0.66
52,200,0,10,10,0.66
53,210,0,10,10,0.66
54,220,0,10,10,0.66
55,230,0,10,10,0.66
56,240,0,10,10,0.66
57,250,0,10,10,0.66
58,260,0,10,10,0.54
59,270,0,10,10,0.54
60,280,0,10,10,0.54
61,290,0,10,10,0.54
62,300,0,10,10,0.54
63,310,0,10,10,0.54
64,0,10,10,10,0.54
65,10,10,10,10,0.70
66,20,10,10,10,0.70
67,30,10,10,10,0.70
68,40,10,10,10,0.70
69,50,10,10,10,0.70
70,60,10,10,10,0.70
71,70,10,10,10,0.70
72,80,10,10,10,0.70
73,90,10,10,10,0.70
74,100,10,10,10,0.70
75,110,10,10,10,0.70
76,120,10,10,10,0.70
77,130,10,10,10,0.70
78,140,10,10,10,0.70
79,150,10,10,10,0.70
80,160,10,10,10,0.70
81,170,10,10,10,0.70
82,180,10,10,10,0.70
83,190,10,10,10,0.70
84,200,10,10,10,0.70
85,210,10,10,10,0.70
86,220,10,10,10,0.70
87,230,10,10,10,0.70
88,240,10,10,10,0.70
89,250,10,10,10,0.70
90,260,10,10,10,0.70
91,270,10,10,10,0.54
92,280,10,10,10,0.54
93,290,10,10,10,0.54
94,300,10,10,10,0.54
95,310,10,10,10,0.54
96,0,20,10,10,0.54
97,10,20,10,10,0.62
98,20,20,10,10,0.62
99,30,20,10,10,0.62
100,40,20,10,10,0.62
101,50,20,10,10,0.62
102,60,20,10,10,0.62
103,70,20,10,10,0.62
104,80,20,10,10,0.62
105,90,20,10,10,0.62
106,100,20,10,10,0.62
107,110,20,10,10,0.62
108,120,20,10,10,0.62
109,130,20,10,10,0.62
110,140,20,10,10,0.62
111,150,20,10,10,0.62
112,160,20,10,10,0.62
113,170,20,10,10,0.62
114,180,20,10,10,0.62
115,190,20,10,10,0.62
116,200,20,10,10,0.62
117,210,20,10,10,0.62
118,220,20,10,10,0.62
119,230,20,10,10,0.62
120,240,20,10,10,0.62
121,250,20,10,10,0.62
122,260,20,10,10,0.62
123,270,20,10,10,0.54
124,280,20,10,10,0.54
125,290,20,10,10,0.54
126,300,20,10,10,0.54
183,310,20,10,10,0.54
215,0,30,10,10,0.54
8592,10,30,10,10,0.54
8593,20,30,10,10,0.54
8594,30,30,10,10,0.54
8595,40,30,10,10,0.54
9654,50,30,10,10,0.54
12289,60,30,10,10,1.00
12290,70,30,10,10,1.00
19968,80,30,10,10,1.00
19969,90,30,10,10,1.00
19971,100,30,10,10,1.00
19977,110,30,10,10,1.00
19978,120,30,10,10,1.00
19979,130,30,10,10,1.00
19981,140,30,10,10,1.00
19982,150,30,10,10,1.00
19988,160,30,10,10,1.00
20004,170,30,10,10,1.00
20010,180,30,10,10,1.00
20013,190,30,10,10,1.00
20020,200,30,10,10,1.00
20026,210,30,10,10,1.00
20027,220,30,10,10,1.00
20037,230,30,10,10,1.00
20043,240,30,10,10,1.00
20061,250,30,10,10,1.00
20063,260,30,10,10,1.00
20080,270,30,10,10,1.00
20102,280,30,10,10,1.00
20107,290,30,10,10,1.00
20108,300,30,10,10,1.00
20110,310,30,10,10,1.00
20111,0,40,10,10,1.00
20114,10,40,10,10,1.00
20116,20,40,10,10,1.00
20135,30,40,10,10,1.00
20142,40,40,10,10,1.00
20154,50,40,10,10,1.00
20173,60,40,10,10,1.00
20174,70,40,10,10,1.00
20179,80,40,10,10,1.00
20184,90,40,10,10,1.00
20195,100,40,10,10,1.00
20197,110,40,10,10,1.00
20214,120,40,10,10,1.00
20215,130,40,10,10,1.00
20219,140,40,10,10,1.00
20221,150,40,10,10,1.00
20240,160,40,10,10,1.00
20248,170,40,10,10,1.00
20249,180,40,10,10,1.00
20250,190,40,10,10,1.00
20272,200,40,10,10,1.00
20276,210,40,10,10,1.00
20280,220,40,10,10,1.00
20301,230,40,10,10,1.00
20302,240,40,10,10,1.00
20307,250,40,10,10,1.00
20313,260,40,10,10,1.00
20316,270,40,10,10,1.00
20320,280,40,10,10,1.00
20351,290,40,10,10,1.00
20363,300,40,10,10,1.00
20379,310,40,10,10,1.00
20391,0,50,10,10,1.00
20415,10,50,10,10,1.00
20445,20,50,10,10,1.00
20462,30,50,10,10,1.00
20493,40,50,10,10,1.00
20511,50,50,10,10,1.00
20540,60,50,10,10,1.00
20542,70,50,10,10,1.00
20559,80,50,10,10,1.00
20572,90,50,10,10,1.00
20598,100,50,10,10,1.00
20687,110,50,10,10,1.00
20801,120,50,10,10,1.00
20805,130,50,10,10,1.00
20808,140,50,10,10,1.00
20809,150,50,10,10,1.00
20813,160,50,10,10,1.00
20837,170,50,10,10,1.00
20840,180,50,10,10,1.00
20843,190,50,10,10,1.00
20844,200,50,10,10,1.00
20845,210,50,10,10,1.00
20849,220,50,10,10,1.00
20851,230,50,10,10,1.00
20854,240,50,10,10,1.00
20855,250,50,10,10,1.00
20859,260,50,10,10,1.00
20869,270,50,10,10,1.00
20877,280,50,10,10,1.00
20889,290,50,10,10,1.00
20896,300,50,10,10,1.00
20914,310,50,10,10,1.00
20915,0,60,10,10,1.00
20928,10,60,10,10,1.00
20934,20,60,10,10,1.00
20943,30,60,10,10,1.00
20960,40,60,10,10,1.00
20986,50,60,10,10,1.00
20987,60,60,10,10,1.00
20998,70,60,10,10,1.00
20999,80,60,10,10,1.00
21015,90,60,10,10,1.00
21017,100,60,10,10,1.00
21021,110,60,10,10,1.00
21024,120,60,10,10,1.00
21028,130,60,10,10,1.00
21033,140,60,10,10,1.00
21035,150,60,10,10,1.00
21040,160,60,10,10,1.00
21046,170,60,10,10,1.00
21047,180,60,10,10,1.00
21066,190,60,10,10,1.00
21069,200,60,10,10,1.00
21093,210,60,10,10,1.00
21097,220,60,10,10,1.00
21103,230,60,10,10,1.00
21147,240,60,10,10,1.00
21151,250,60,10,10,1.00
21152,260,60,10,10,1.00
21160,270,60,10,10,1.00
21161,280,60,10,10,1.00
21163,290,60,10,10,1.00
21169,300,60,10,10,1.00
21215,310,60,10,10,1.00
21253,0,70,10,10,1.00
21270,10,70,10,10,1.00
21280,20,70,10,10,1.00
21306,30,70,10,10,1.00
21313,40,70,10,10,1.00
21315,50,70,10,10,1.00
21322,60,70,10,10,1.00
21333,70,70,10,10,1.00
21334,80,70,10,10,1.00
21344,90,70,10,10,1.00
21360,100,70,10,10,1.00
21363,110,70,10,10,1.00
21387,120,70,10,10,1.00
21402,130,70,10,10,1.00
21407,140,70,10,10,1.00
21435,150,70,10,10,1.00
21442,160,70,10,10,1.00
21451,170,70,10,10,1.00
21452,180,70,10,10,1.00
21453,190,70,10,10,1.00
21457,200,70,10,10,1.00
21462,210,70,10,10,1.00
21463,220,70,10,10,1.00
21464,230,70,10,10,1.00
21472,240,70,10,10,1.00
21475,250,70,10,10,1.00
21482,260,70,10,10,1.00
21484,270,70,10,10,1.00
21487,280,70,10,10,1.00
21488,290,70,10,10,1.00
21491,300,70,10,10,1.00
21495,310,70,10,10,1.00
21507,0,80,10,10,1.00
21508,10,80,10,10,1.00
21512,20,80,10,10,1.00
21514,30,80,10,10,1.00
21516,40,80,10,10,1.00
21518,50,80,10,10,1.00
21521,60,80,10,10,1.00
21534,70,80,10,10,1.00
21542,80,80,10,10,1.00
21547,90,80,10,10,1.00
21548,100,80,10,10,1.00
21551,110,80,10,10,1.00
21560,120,80,10,10,1.00
21628,130,80,10,10,1.00
21629,140,80,10,10,1.00
21644,150,80,10,10,1.00
21697,160,80,10,10,1.00
21709,170,80,10,10,1.00
21796,180,80,10,10,1.00
21806,190,80,10,10,1.00
21809,200,80,10,10,1.00
21830,210,80,10,10,1.00
21890,220,80,10,10,1.00
21892,230,80,10,10,1.00
