codepoint,x,y,width,height,active_width,anchor,top_row,bottom_row,bitmap_hex
32,1,1,16,16,3,space,0,0,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000
33,19,1,16,16,2,baseline,3,14,0000;0000;0000;0003;0003;0003;0003;0003;0003;0003;0003;0000;0003;0003;0003;0000
34,37,1,16,16,5,baseline,10,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;001B;001B;001B;001B;001B;0000
35,55,1,16,16,8,baseline,3,14,0000;0000;0000;004C;004C;0064;00FF;00FF;0066;0066;00FF;00FF;0022;0032;0032;0000
36,73,1,16,16,7,baseline,0,15,000C;000C;003E;007F;0003;0003;0007;001E;003C;0070;0060;0061;007F;003E;000C;000C
37,91,1,16,16,14,baseline,3,14,0000;0000;0000;061E;023F;0333;0133;01B3;1EBF;3F5E;336C;3320;3330;3F10;1E18;0000
38,109,1,16,16,11,baseline,3,14,0000;0000;0000;003C;007E;0066;0066;003E;021C;031E;033F;01F3;01E3;07FF;033E;0000
39,127,1,16,16,2,baseline,10,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0003;0003;0003;0003;0003;0000
40,145,1,16,16,4,center,0,15,000C;000C;0006;0006;0007;0003;0003;0003;0003;0003;0003;0007;0006;0006;000E;000C
41,163,1,16,16,4,center,0,15,0003;0003;0006;0006;000E;000C;000C;000C;000C;000C;000C;000E;0006;0006;0003;0003
42,181,1,16,16,6,baseline,9,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;000C;000D;003F;000E;001E;0012;0000
43,199,1,16,16,8,baseline,7,14,0000;0000;0000;0000;0000;0000;0000;0018;0018;0018;00FF;00FF;0018;0018;0018;0000
44,217,1,16,16,4,baseline,10,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;000F;000E;000C;0006;0003;0000
45,235,1,16,16,4,midline,7,8,0000;0000;0000;0000;0000;0000;0000;000F;000F;0000;0000;0000;0000;0000;0000;0000
46,253,1,16,16,2,baseline,12,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0003;0003;0003;0000
47,271,1,16,16,6,center,0,15,0030;0030;0010;0018;0018;0018;0008;000C;000C;0004;0006;0006;0006;0002;0003;0001
48,289,1,16,16,8,baseline,3,14,0000;0000;0000;003C;007E;00E7;00C3;00C3;00C3;00C3;00C3;00C3;00E7;007E;003C;0000
49,307,1,16,16,7,baseline,3,14,0000;0000;0000;001C;001F;0018;0018;0018;0018;0018;0018;0018;0018;007F;007F;0000
50,325,1,16,16,8,baseline,3,14,0000;0000;0000;003E;007F;0063;0060;0060;0070;0030;0038;001C;000E;00FF;00FF;0000
51,343,1,16,16,7,baseline,3,14,0000;0000;0000;003E;007F;0060;0060;0070;003C;003C;0060;0060;0061;007F;003E;0000
52,361,1,16,16,9,baseline,3,14,0000;0000;0000;0070;0078;0078;006C;006C;0066;0066;0063;01FF;00FF;0060;0060;0000
53,379,1,16,16,8,baseline,3,14,0000;0000;0000;007E;007E;0006;0006;007E;007E;00E0;00C0;00C0;00E1;007F;003E;0000
54,397,1,16,16,8,baseline,3,14,0000;0000;0000;007C;00FE;0006;0003;0033;007F;00E7;00C3;00C3;00E7;007E;003C;0000
55,415,1,16,16,8,baseline,3,14,0000;0000;0000;00FF;00FF;0060;0030;0030;0018;0018;001C;000C;000C;000C;000C;0000
56,433,1,16,16,7,baseline,3,14,0000;0000;0000;003E;007F;0063;0063;0067;003E;003E;0073;0063;0063;007F;003E;0000
57,451,1,16,16,8,baseline,3,14,0000;0000;0000;003C;007E;00E3;00C3;00C3;00E7;00FE;00CC;00E0;0060;007F;003E;0000
58,469,1,16,16,2,midline,3,11,0000;0000;0000;0003;0003;0003;0000;0000;0000;0003;0003;0003;0000;0000;0000;0000
59,487,1,16,16,3,baseline,3,14,0000;0000;0000;0003;0003;0003;0000;0000;0000;0000;0007;0007;0006;0007;0003;0000
60,505,1,16,16,8,center,4,11,0000;0000;0000;0000;0080;00F0;007C;000F;000F;003E;00F0;0080;0000;0000;0000;0000
61,523,1,16,16,8,baseline,9,14,0000;0000;0000;0000;0000;0000;0000;0000;0000;00FF;00FF;0000;0000;00FF;00FF;0000
62,541,1,16,16,8,center,4,11,0000;0000;0000;0000;0001;000F;003E;00F0;00F0;007C;000F;0001;0000;0000;0000;0000
63,559,1,16,16,7,baseline,3,14,0000;0000;0000;003E;007F;0060;0060;0030;0018;000C;000C;0000;000C;000C;000C;0000
