chapter_id,chapter_name,chapter_index,normal_stage_count,boss_count,total_encounter_count,global_encounter_index,stage_index_in_chapter,encounter_id,encounter_name,encounter_type,target_score,expected_growth_multiplier,max_rolls,max_cheats,base_reward_gold,roll_bonus_gold,cheat_bonus_gold,rule_kind,rule_text,balance_note
chapter_01,第一章,1,3,1,4,1,1,1-1,1-1 柜台试投,normal,14,0.67,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_01,第一章,1,3,1,4,2,2,1-2,1-2 账房抽查,normal,18,0.86,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_01,第一章,1,3,1,4,3,3,1-3,1-3 印章复核,normal,19,0.90,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_01,第一章,1,3,1,4,4,4,1-boss,1-boss 第1章总审,boss,21,1.00,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_02,第二章,2,3,1,4,5,1,2-1,2-1 柜台试投,normal,20,0.95,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_02,第二章,2,3,1,4,6,2,2-2,2-2 账房抽查,normal,22,1.05,1,0,3,0,0,LowFog,1点和2点单骰分-1,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_02,第二章,2,3,1,4,7,3,2-3,2-3 印章复核,normal,27,1.29,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_02,第二章,2,3,1,4,8,4,2-boss,2-boss 第2章总审,boss,32,1.52,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_03,第三章,3,3,1,4,9,1,3-1,3-1 柜台试投,normal,31,1.48,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_03,第三章,3,3,1,4,10,2,3-2,3-2 账房抽查,normal,34,1.62,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_03,第三章,3,3,1,4,11,3,3-3,3-3 印章复核,normal,38,1.81,1,0,3,0,0,LowFog,1点和2点单骰分-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_03,第三章,3,3,1,4,12,4,3-boss,3-boss 第3章总审,boss,46,2.19,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_04,第四章,4,3,1,4,13,1,4-1,4-1 柜台试投,normal,42,2.00,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_04,第四章,4,3,1,4,14,2,4-2,4-2 账房抽查,normal,52,2.48,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
