key,value,comment
start_response_time,0.15,起摇响应时间
input_window_duration,1.35,加力窗口时长
input_debounce,0.06,输入去抖
max_impulse_count,8,有效冲量上限
base_power,0.45,起摇基础强度
impulse_power,0.18,单次冲量强度
max_power,1.75,最大表现强度
power_decay_per_second,0.22,摇晃阶段自然衰减
stop_duration,0.90,停转显点时长
stop_min_power,0.02,回落最低强度
expired_prompt_duration,0.12,超时提示闪烁时长
cup_x_amplitude,32,骰盅横向振幅
cup_y_amplitude,7,骰盅纵向振幅
cup_rotation_amplitude,6,骰盅旋转振幅
cup_frequency,20,骰盅晃动频率
table_shake_amplitude,2,桌面轻震幅度
table_shake_duration,0.08,桌面轻震时长
prompt_pulse_scale,1.04,提示条脉冲缩放
prompt_pulse_duration,0.10,提示条脉冲时长
tap_sound_volume,0.65,有效敲击音量
expired_tap_volume,0.18,超时敲击音量
